name,pos,type,days
Nicholas Tropeano,SP,Undisclosed/Shoulder,658
Andrew Triggs,SP,Shin,16
Yan Gomes,C,Shoulder,75
Rich Hill,SP,Finger/Groin,72
Jhonny Peralta,3B,Thumb,81
Casey Fien,RP,Elbow,30
Chris Herrmann,C,Hamstring,52
Chad Qualls,RP,Illness,35
Sean O'Sullivan,RP,Knee,33
Tommy Hunter,RP,Illness/Abdominal,74
Tyler Flowers,C,Hand,39
Trayce Thompson,CF,Back,646
Trevor Cahill,RP,Knee,39
Hyun-Jin Ryu,SP,Elbow/Shoulder,743
C.J. Cron,1B,Hand,43
Matt Carpenter,1B,Oblique,30
Craig Kimbrel,RP,Knee,26
Zach McAllister,RP,Hip,23
David Ross,C,Concussion,10
Brayan Pena,C,Knee,148
Jake Diekman,RP,Finger,17
Cory Gearrin,RP,Shoulder,44
Alex Avila,C,Hamstring,67
Carlos Rodon,SP,Wrist,26
Taijuan Walker,SP,Foot,32
Matt Harvey,SP,Shoulder,651
Brandon Moss,DH,Ankle,29
Bryan Holaday,C,Thumb,28
Daniel Norris,SP,Oblique/Back,53
Andrew Lambo,RF,Illness,652
Junichi Tazawa,RP,Shoulder,19
Fernando Rodriguez,RP,Shoulder,652
Andrew Chafin,RP,Shoulder,65
Marco Estrada,SP,Back,27
Justin Miller,RP,Oblique,62
Justin Bour,1B,Ankle,66
Joe Ross,SP,Shoulder,78
Josh Phegley,C,Knee,672
Conor Mullee,RP,Hand,654
Ryan Goins,2B,Arm,654
Joc Pederson,RF,Shoulder,19
Matt Davidson,3B,Foot,655
Nicky Delmonico,LF,Concussion,27
Jameson Taillon,SP,Shoulder,20
Lorenzo Cain,CF,Hamstring,30
Kevin Siegrist,RP,Illness,16
Steve Clevenger,C,Hand,656
Chris Heston,RP,Oblique,656
Joe Panik,2B,Concussion,29
Erik Johnson,SP,Elbow,657
Zack Greinke,SP,Oblique,42
T.J. McFarland,RP,Knee,59
Enrique Hernandez,LF,Ribs,34
Jon Jay,RF,Arm,71
John Gant,SP,Oblique,55
Clayton Kershaw,SP,Back,75
Nick Vincent,RP,Back,42
Gavin Floyd,RP,Shoulder,660
Sean Doolittle,RP,Shoulder,69
Adrian Sampson,RP,Arm,662
Chris Young,RF,Hamstring,60
Socrates Brito,LF,Toe,43
Andrew Bailey,RP,Hamstring,16
Colby Lewis,SP,Arm,81
Clayton Richard,SP,Finger,25
Zach Putnam,RP,Elbow,665
Derek Holland,SP,Shoulder,64
Mikie Mahtook,LF,Hand,47
Drew VerHagen,RP,Shoulder,666
Mallex Smith,LF,Thumb,89
Matt Duffy,3B,Knee ACL,53
Brian Duensing,RP,Elbow,78
Dexter Fowler,RF,Hamstring,34
Alex Colome,RP,Arm,17
Jim Henderson,RP,Arm,63
J.D. Martinez,DH,Elbow,48
A.J. Morris,RP,Shoulder,670
Alfredo Simon,SP,Shoulder,670
Josh Rutledge,SS,Knee,671
Gerardo Parra,RF,Ankle,54
Sean Manaea,SP,Arm,16
Jonathan Papelbon,RP,Arm,22
Cory Rasmus,RP,Groin,118
Yu Darvish,SP,Shoulder/Elbow Tommy John,91
Wade Miley,SP,Shoulder,17
Jake McGee,RP,Knee,21
Andrew Cashner,SP,Neck/Hamstring,35
Chris Parmelee,1B,Hamstring,66
Austin Jackson,CF,Knee,676
Phil Hughes,RP,Knee,676
Vincent Velasquez,SP,Arm,18
Kelby Tomlinson,2B,Thumb,677
Chris Rusin,RP,Shoulder,49
Williams Perez,SP,Shoulder,87
Tommy La Stella,3B,Hamstring,29
Domingo Santana,RF,Elbow/Shoulder,89
Jorge Soler,LF,Hamstring,60
Chris Owings,2B,Foot,680
Blake Swihart,C,Ankle,681
Brandon Guyer,RF,Hamstring,26
Mark Teixeira,1B,Knee,22
Mike Foltynewicz,SP,Elbow,27
Tony Wolters,C,Concussion,12
Yasiel Puig,RF,Hamstring,19
Jordan Pacheco,3B,Shoulder,683
Hunter Pence,LF,Hamstring,59
Gordon Beckham,2B,Hamstring,58
Miguel Sano,3B,Hamstring,31
Cliff Pennington,SS,Hamstring,79
Brad Boxberger,RP,Oblique/Abdominal,117
Warwick Saupold,RP,Groin,685
Brett Eibner,LF,Ankle,16
Alex Wood,SP,Arm,113
Caleb Joseph,C,Groin,31
Dustin Ackley,2B,Shoulder,687
David Wright,3B,Neck,687
Erick Aybar,SS,Foot,15
Troy Tulowitzki,SS,Quad,21
Caleb Cotham,RP,Knee,688
Cesar Vargas,SP,Elbow,688
Felix Hernandez,SP,Calf,54
Ryan Webb,RP,Pectoral,690
Shelby Miller,RP,Finger,25
Mike Moustakas,3B,Knee ACL/Thumb,705
Chasen Shreve,RP,Shoulder,25
Chris Capuano,RP,Elbow,691
Bryan Morris,RP,Back,118
Rubby De La Rosa,SP,Elbow,107
Leonys Martin,CF,Hamstring,16
Darin Mastroianni,CF,Oblique,41
Arquimedes Caminero,RP,Quad,18
Boone Logan,RP,Shoulder,13
Angel Pagan,LF,Hamstring,22
Ryan Vogelsong,SP,Face,73
Drew Stubbs,CF,Toe,80
Alex Gordon,CF,Wrist,34
Chin-Hui Tsao,RP,Arm,695
Joba Chamberlain,RP,Ribs,18
Kevin Kiermaier,CF,Hand,55
Christian Bergman,RP,Oblique,51
Lucas Duda,1B,Back,120
Josh Reddick,RF,Thumb,41
Tim Adleman,SP,Oblique,75
Brock Holt,2B,Concussion,698
Carlos Gomez,RF,Ribs,15
Daniel Nava,LF,Groin/Knee,53
Carson Smith,RP,Elbow/Arm,733
Brett Cecil,RP,Arm,47
Luis Severino,SP,Arm,703
Michael Brantley,LF,Shoulder,726
Logan Forsythe,2B,Shoulder,28
Wilmer Flores,1B,Hamstring,18
Kris Medlen,SP,Shoulder,705
Chris Young,RP,Arm,17
Nefi Ogando,RP,Ribs,48
Andrelton Simmons,SS,Thumb,37
Jim Johnson,RP,Groin,25
Liam Hendriks,RP,Arm,41
Mark Canha,LF,Back,707
Jemile Weeks,2B,Hamstring,709
A.J. Griffin,RP,Shoulder,49
Jon Moscot,SP,Shoulder/Ribs,40
Eduardo Escobar,SS,Groin,17
C.C. Sabathia,SP,Groin,15
Nick Hundley,C,Oblique/Concussion,39
Garrett Richards,SP,Elbow,711
Alex Rodriguez,DH,Hamstring,712
Jake Petricka,RP,Hip,712
Matt Szczur,CF,Hamstring,19
Tony Zych,RP,Shoulder,113
J.J. Hardy,SS,Foot,47
Devin Mesoraco,C,Shoulder,715
Roberto Perez,C,Thumb,79
Craig Gentry,LF,Back,91
Raisel Iglesias,RP,Shoulder,52
Dalier Hinojosa,RP,Hand,65
Chris Bassitt,SP,Elbow,718
Daniel Webb,RP,Elbow,718
Shane Greene,RP,Finger,38
Scooter Gennett,2B,Oblique,15
Miguel Montero,C,Back,17
Matt Belisle,RP,Calf,49
Jorge De La Rosa,RP,Groin,28
Ervin Santana,SP,Back,11
Kevan Smith,C,Back,27
Travis d'Arnaud,C,Shoulder,57
Kyle Gibson,SP,Shoulder,46
Joaquin Benoit,RP,Shoulder,23
Charlie Morton,SP,Hamstring,723
Yimi Garcia,RP,Arm,724
Yovani Gallardo,RP,Shoulder,57
Branden Pinder,RP,Elbow,725
