pitcher_name,month,type,pitch_type,px,pz
Clayton Kershaw,4,B,CU,0.149,0.773
Clayton Kershaw,4,S,CH,-0.025,2.033
Clayton Kershaw,4,X,SL,-0.306,1.581
Clayton Kershaw,4,B,FF,-0.785,1.235
Clayton Kershaw,4,B,FF,0.66,2.04
Clayton Kershaw,4,S,FF,0.435,1.69
Clayton Kershaw,4,S,FF,-0.631,1.829
Clayton Kershaw,4,S,FF,0.188,1.781
Clayton Kershaw,4,S,FF,0.315,2.196
Clayton Kershaw,4,B,CU,-0.809,0.319
Clayton Kershaw,4,B,SL,-1.022,1.338
Clayton Kershaw,4,B,SL,-0.643,1.178
Clayton Kershaw,4,S,FF,0.132,1.839
Clayton Kershaw,4,X,FF,-0.661,2.709
Clayton Kershaw,4,X,FF,-1.29,2.83
Clayton Kershaw,4,S,FF,-0.292,2.419
Clayton Kershaw,4,S,CU,0.28,3.335
Clayton Kershaw,4,B,SL,0.866,3.362
Clayton Kershaw,4,S,SL,-0.624,2.148
Clayton Kershaw,4,S,SL,-0.086,2.888
Clayton Kershaw,4,B,FF,-1.67,2.306
Clayton Kershaw,4,B,SL,0.336,1.329
Clayton Kershaw,4,X,FF,-1.021,2.354
Clayton Kershaw,4,S,FF,-0.232,2.367
Clayton Kershaw,4,S,CU,0.279,2.414
Clayton Kershaw,4,B,CU,-0.173,-1.092
Clayton Kershaw,4,S,FF,0.848,2.299
Clayton Kershaw,4,S,FF,0.536,2.295
Clayton Kershaw,4,B,CU,0.309,1.175
Clayton Kershaw,4,X,SL,-1.079,1.653
Clayton Kershaw,4,S,FF,-1.503,1.951
Clayton Kershaw,4,S,FF,-0.883,2.499
Clayton Kershaw,4,B,FF,0.023,1.255
Clayton Kershaw,4,S,CU,0.217,1.189
Clayton Kershaw,4,B,CU,-0.315,-0.395
Clayton Kershaw,4,S,SL,-0.328,1.851
Clayton Kershaw,4,S,SL,-0.639,1.091
Clayton Kershaw,4,B,FF,-1.799,3.337
Clayton Kershaw,4,B,FF,-0.195,1.531
Clayton Kershaw,4,S,FF,0.001,2.263
Clayton Kershaw,4,B,CH,-0.76,1.312
Clayton Kershaw,4,S,FF,-1.315,1.607
Clayton Kershaw,4,S,FF,0.191,3.038
Clayton Kershaw,4,S,FF,-0.769,3.314
Clayton Kershaw,4,S,FF,0.133,3.064
Clayton Kershaw,4,X,FF,0.03,2.021
Clayton Kershaw,4,B,FF,-0.326,3.973
Clayton Kershaw,4,S,FF,-0.285,2.298
Clayton Kershaw,4,S,FF,0.202,2.001
Clayton Kershaw,4,X,CU,0.299,2.724
Clayton Kershaw,4,S,FF,-0.151,3.312
Clayton Kershaw,4,S,CU,-0.544,2.22
Clayton Kershaw,4,B,SL,1.658,3.453
Clayton Kershaw,4,B,SL,0.978,2.728
Clayton Kershaw,4,X,FF,0.048,2.89
Clayton Kershaw,4,S,SL,-0.174,2.957
Clayton Kershaw,4,S,SL,-0.399,1.653
Clayton Kershaw,4,B,CU,0.717,1.193
Clayton Kershaw,4,S,FF,0.257,2.032
Clayton Kershaw,4,S,FF,-1.216,2.407
Clayton Kershaw,4,S,CU,0.158,3.103
Clayton Kershaw,4,B,CH,1.083,2.604
Clayton Kershaw,4,X,SL,-0.534,1.679
Clayton Kershaw,4,S,FF,-0.239,1.952
Clayton Kershaw,4,B,CH,1.101,1.515
Clayton Kershaw,4,S,CH,1.11,1.415
Clayton Kershaw,4,S,CU,0.19,2.289
Clayton Kershaw,4,S,CU,-0.119,1.475
Chris Sale,4,S,FT,-0.75,3.24
Chris Sale,4,B,FT,-1.08,1.87
Chris Sale,4,S,FT,0.12,2.49
Chris Sale,4,S,FT,0.89,2.87
Chris Sale,4,S,FT,0.17,2.45
Chris Sale,4,S,SL,-0.9,2.39
Chris Sale,4,X,FT,-0.15,2.41
Chris Sale,4,B,FT,-1.15,3.37
Chris Sale,4,S,FT,0.08,2.07
Chris Sale,4,S,CU,-0.09,2.4
Chris Sale,4,B,FT,0.16,4.17
Chris Sale,4,B,FT,1.24,0.95
Chris Sale,4,S,FT,-0.49,3.04
Chris Sale,4,B,FT,0.62,3.48
Chris Sale,4,B,FT,-1.39,2.73
Chris Sale,4,X,FT,0.6,2.95
Chris Sale,4,B,FT,-1.67,3.86
Chris Sale,4,X,CH,0.38,2.11
Chris Sale,4,B,FT,0.49,1.51
Chris Sale,4,B,FT,1.46,2.97
Chris Sale,4,S,FT,0.78,2.28
Chris Sale,4,S,FT,0.08,2.82
Chris Sale,4,S,FT,-0.87,2.3
Chris Sale,4,B,FT,1.64,2.96
Chris Sale,4,X,CH,0,1.77
Chris Sale,4,S,FT,0.46,3.36
Chris Sale,4,S,CU,0.97,2.57
Chris Sale,4,S,FT,-1,3.8
Chris Sale,4,S,FT,-0.15,2.29
Chris Sale,4,S,FT,-0.18,3.2
Chris Sale,4,X,FT,-0.64,1.95
Chris Sale,4,S,FT,0.25,2.65
Chris Sale,4,S,FT,0.3,1.75
Chris Sale,4,B,FT,-0.21,4.6
Chris Sale,4,B,FT,-1.21,3.32
Chris Sale,4,B,CU,-2,1.14
Chris Sale,4,B,FT,0.76,4.17
Chris Sale,4,B,FT,-1.06,3.81
Chris Sale,4,S,CH,-0.53,2.06
Chris Sale,4,B,FT,-1.06,3.05
Chris Sale,4,X,FT,-0.27,2.19
Chris Sale,4,B,FT,-1.35,2
Chris Sale,4,X,FT,0.09,2.81
Chris Sale,4,B,FT,1.19,3.01
Chris Sale,4,S,FT,-0.59,2.83
Chris Sale,4,X,SL,-0.36,2.77
Chris Sale,4,S,CU,0.77,2.52
Chris Sale,4,S,FT,0.49,1.43
Chris Sale,4,B,SL,-1.63,0.35
Chris Sale,4,S,FT,0.31,3.55
Chris Sale,4,X,FT,0.3,2.23
Chris Sale,4,S,FT,-0.46,3.44
Chris Sale,4,S,CU,0.45,2.04
Chris Sale,4,B,FT,-0.09,5.17
Chris Sale,4,S,FT,-0.31,3.17
Chris Sale,4,S,SL,-0.99,2.23
Chris Sale,4,B,CU,1.01,1.8
Chris Sale,4,B,FT,1.19,5.16
Chris Sale,4,S,FT,1.18,2.76
Chris Sale,4,B,CU,-0.77,1.56
Chris Sale,4,S,FT,1.49,2.63
Chris Sale,4,X,CU,-0.47,2.61
Chris Sale,4,B,FT,-0.49,1.88
Chris Sale,4,S,FT,-0.64,1.79
Chris Sale,4,B,FT,-1.29,2.32
Chris Sale,4,S,FT,-0.98,2.75
Chris Sale,4,S,SL,0.15,2.99
Chris Sale,4,S,SL,-0.52,2.36
Chris Sale,4,S,SL,0.65,2.77
Chris Sale,4,B,FT,-0.23,5.14
Chris Sale,4,S,SL,-1.79,1.12
Chris Sale,4,S,CH,0.95,3
Chris Sale,4,S,FT,0.32,2.54
Chris Sale,4,B,SL,-0.41,0.82
Chris Sale,4,S,FT,1.1,2.06
Chris Sale,4,X,CH,1.14,2.85
Chris Sale,4,X,CH,-0.17,2.47
Chris Sale,4,S,CU,-0.32,3.04
Chris Sale,4,B,CH,0.82,1.35
Chris Sale,4,B,CH,1.93,2.4
Chris Sale,4,B,FT,0.44,3.8
Chris Sale,4,S,FT,-0.09,2.44
Chris Sale,4,S,FT,-0.92,2.03
Chris Sale,4,S,FT,-0.25,2.33
Chris Sale,4,B,FT,-1.81,1.92
Chris Sale,4,S,FT,0.04,2.91
Chris Sale,4,S,CU,-2.52,0.77
Chris Sale,4,X,FT,0.62,2.52
Chris Sale,4,S,CH,0.45,2.43
Chris Sale,4,B,CU,-1.09,0.69
Chris Sale,4,X,FT,-0.36,1.81
Chris Sale,4,X,FT,0.41,2.42
Chris Sale,4,X,FT,-1.1,2.28
Chris Sale,4,X,FT,0.06,2.02
Chris Sale,4,B,CU,0.31,3.86
Chris Sale,4,S,CH,0.61,1.34
Chris Sale,4,B,FT,-0.55,3.93
Chris Sale,4,X,CH,0.6,2.71
Chris Sale,4,B,CU,0.66,3.67
Chris Sale,4,S,FT,0.36,2.82
Chris Sale,4,X,CU,0.04,1.16
Chris Sale,4,S,FT,-0.35,3.24
Chris Sale,4,B,FT,-1.32,3.2
Chris Sale,4,B,CH,1.37,3.09
Corey Kluber,4,B,FF,0.943,2.287
Corey Kluber,4,B,SI,0.699,-0.264
Corey Kluber,4,S,SI,0.071,2.334
Corey Kluber,4,S,SI,0.646,2.276
Corey Kluber,4,S,SL,0.007,1.951
Corey Kluber,4,S,SI,-0.01,2.305
Corey Kluber,4,X,SL,-0.227,2.396
Corey Kluber,4,S,FF,0.657,2.492
Corey Kluber,4,S,SL,0.549,2.04
Corey Kluber,4,X,SI,-0.518,2.64
Corey Kluber,4,S,FF,-0.579,2.283
Corey Kluber,4,X,FF,-1.091,1.966
Corey Kluber,4,S,SL,0.243,2.202
Corey Kluber,4,S,FF,-1.147,2.402
Corey Kluber,4,S,FF,0.481,1.879
Corey Kluber,4,B,FF,-1.424,2.833
Corey Kluber,4,B,FF,-0.678,0.741
Corey Kluber,4,X,SI,-0.03,1.824
Corey Kluber,4,S,SI,0.426,3.084
Corey Kluber,4,X,SL,-0.079,1.638
Corey Kluber,4,S,SI,0.259,1.903
Corey Kluber,4,B,FF,-1.395,2.814
Corey Kluber,4,S,CH,-0.113,0.658
Corey Kluber,4,S,SL,0.736,2.763
Corey Kluber,4,B,SI,-1.431,2.823
Corey Kluber,4,X,FF,-0.185,2.186
Corey Kluber,4,B,SL,0.97,1.006
Corey Kluber,4,S,FF,0.29,2.146
Corey Kluber,4,X,SI,-0.4,2.051
Corey Kluber,4,S,SL,-0.013,3.051
Corey Kluber,4,X,SI,-1.213,2.827
Corey Kluber,4,B,FF,-1.295,3.4
Corey Kluber,4,B,SL,-0.476,1.555
Corey Kluber,4,S,FF,0.236,2.655
Corey Kluber,4,S,SL,0.57,1.977
Corey Kluber,4,X,FF,0.01,2.381
Corey Kluber,4,S,SL,-0.584,2.322
Corey Kluber,4,B,CH,-1.288,0.41
Corey Kluber,4,S,SL,0.709,1.725
Corey Kluber,4,S,FF,-0.27,3.369
Corey Kluber,4,X,FF,-1.009,2.757
Corey Kluber,4,B,FF,0.925,2.004
Corey Kluber,4,S,SL,0.343,0.886
Corey Kluber,4,S,SL,0.855,1.378
Corey Kluber,4,X,SI,-0.239,2.508
Corey Kluber,4,B,SL,0.115,1.394
Corey Kluber,4,S,FF,-0.245,2.606
Corey Kluber,4,S,CH,0.323,1.871
Corey Kluber,4,S,SL,0.748,2.127
Corey Kluber,4,S,SI,-0.696,1.996
Corey Kluber,4,B,SI,-0.459,3.657
Corey Kluber,4,B,SI,-0.196,3.394
Corey Kluber,4,S,SL,0.849,1.541
Corey Kluber,4,S,SL,-0.051,1.358
Corey Kluber,4,B,SI,-0.07,4.091
Corey Kluber,4,B,CH,-1.438,1.944
Corey Kluber,4,B,SI,-2.196,3.972
Corey Kluber,4,S,SI,-0.507,2.605
Corey Kluber,4,B,SI,0.418,3.476
Corey Kluber,4,S,CH,-0.222,2.405
Corey Kluber,4,S,CH,0.091,0.973
Corey Kluber,4,X,CH,-0.106,2.369
Corey Kluber,4,S,SL,-0.633,2.439
Corey Kluber,4,B,SL,0.338,0.484
Corey Kluber,4,S,CH,0.887,2.044
Corey Kluber,4,X,SL,0.481,2.113
Corey Kluber,4,S,SL,0.312,2.757
Corey Kluber,4,S,CH,-0.112,1.865
Corey Kluber,4,X,SL,-0.886,2.283
Corey Kluber,4,B,FF,0.028,0.379
Corey Kluber,4,X,SL,-0.424,1.847
Corey Kluber,4,B,SL,0.887,1.104
Corey Kluber,4,B,CH,0.754,-0.075
Corey Kluber,4,S,SI,-0.38,1.286
Corey Kluber,4,B,SL,-2.365,3.981
Corey Kluber,4,S,SI,-0.494,1.426
Corey Kluber,4,S,SL,0.722,1.859
Corey Kluber,4,X,SL,0.262,2.168
Corey Kluber,4,B,SL,-1.415,3.119
Corey Kluber,4,B,CH,0.088,1.554
Corey Kluber,4,X,SI,-0.461,3.225
Corey Kluber,4,S,SL,-0.226,1.586
Corey Kluber,4,B,CH,0.015,0.647
Corey Kluber,4,X,SI,0.399,1.278
Corey Kluber,4,S,SI,-1.142,1.589
Corey Kluber,4,S,SI,-0.857,2.87
Corey Kluber,4,B,SL,-1.165,2.738
Corey Kluber,4,B,FF,-0.267,1.049
Corey Kluber,4,X,SI,-1.106,1.33
Corey Kluber,4,X,SI,-0.482,2.023
Corey Kluber,4,S,SL,-0.907,2.735
Corey Kluber,4,B,CH,-0.149,-0.799
Corey Kluber,4,S,FF,-0.793,3.178
Corey Kluber,4,B,SL,-0.784,3.91
Corey Kluber,4,B,SL,-0.662,3.838
Corey Kluber,4,B,FF,-1.162,3.974
Justin Verlander,4,S,FF,-0.419,2.445
Justin Verlander,4,X,FF,-0.183,1.765
Justin Verlander,4,S,FF,0.913,2.643
Justin Verlander,4,S,FF,0.757,2.686
Justin Verlander,4,B,SL,1.01,1.29
Justin Verlander,4,S,FF,0.312,2.839
Justin Verlander,4,B,FF,0.801,0.249
Justin Verlander,4,S,FF,0.934,2.456
Justin Verlander,4,X,FF,-0.75,1.942
Justin Verlander,4,B,FF,1.359,1.553
Justin Verlander,4,S,FF,0.441,2.812
Justin Verlander,4,B,FF,-0.712,4.209
Justin Verlander,4,S,FF,0.928,3.028
Justin Verlander,4,S,FF,-0.049,3.413
Justin Verlander,4,B,CU,0.984,0.792
Justin Verlander,4,B,SL,1.305,2.836
Justin Verlander,4,S,FF,-0.281,2.82
Justin Verlander,4,B,CU,-0.765,3.728
Justin Verlander,4,B,CU,0.612,0.648
Justin Verlander,4,B,FF,-0.121,1.191
Justin Verlander,4,X,FF,-0.686,2.736
Justin Verlander,4,B,CH,-1.555,2.606
Justin Verlander,4,S,CH,0.22,1.909
Justin Verlander,4,S,FF,-0.825,3.257
Justin Verlander,4,B,FF,-1.896,3.14
Justin Verlander,4,S,CH,-0.632,1.94
Justin Verlander,4,S,FF,0.657,2.099
Justin Verlander,4,S,CU,0.954,1.805
Justin Verlander,4,S,FF,0.393,2.806
